MezheYeshut,GISId,MisparYeshut,MisparYeshutAv,AchuzHachtamot,AchuzHachtamotMitcham,Bayt,GushChelka,KamutDirot,KamutTziburi,kaymetminhelet,KodMinhelet,KtovetAishKesher,MachozMinhal,MahutBakasha,MechirMemutza,mitve,Rechov,SemelIishuv,ShemMitcham,ShnatBakasha,ShnatHryter,ShnatIchlus,Status,TaarichMechiraRishona,YachadKayam,YachadMutza,YachadTabo,YachadTosafti,Yazam,Yeshut,Yeshuv,BakashaLeHeter,Heter1,Ichlus1
16-641077,641077,16002028,NULL,NULL,NULL,11,NULL,NULL,NULL,כן,70,"יהודה המכבי 11,אשדוד",דרום,"; מחסנים בהמשך לפרויקט תמ""א 38.",NULL,"תמ""א - חיזוק ועיבוי",יהודה המכבי,70,NULL,2009,2010,2016,אכלוס,NULL,16,25,NULL,9,NULL,"תמ""א",אשדוד,2009-03-09,2010-08-23,2016-04-20
16-641168,641168,16002040,NULL,NULL,NULL,13,NULL,NULL,NULL,כן,70,"האלמוגים 13,אשדוד",דרום,"תוספת 2 יח""ד בקומת קרקע + מרפסות, מעלית, מחסנים וממד""ים ל-2 יח""ד חדשות עפ""י תמ""א 38.",NULL,"תמ""א - חיזוק ועיבוי",האלמוגים,70,NULL,2010,2010,2013,אכלוס,NULL,4,6,NULL,2,NULL,"תמ""א",אשדוד,2010-01-27,2010-10-17,2013-05-05
16-641060,641060,16002176,NULL,NULL,NULL,29,NULL,NULL,NULL,כן,70,"ז'בוטינסקי 29,אשדוד",דרום,"תוספת יח""ד אחת בקומה ו'+יח""ד אחת בקומת הקרקע+ממ""דים ל-22 יח""ד קיימות, עפ""י תמ""א 38",NULL,"תמ""א - חיזוק ועיבוי",ז'בוטינסקי,70,NULL,2009,2010,2011,אכלוס,NULL,22,24,NULL,2,NULL,"תמ""א",אשדוד,2009-12-22,2010-07-20,2011-06-05
16-641002,641002,16001729,NULL,NULL,NULL,27,NULL,NULL,NULL,כן,70,"שבי ציון 27,אשדוד",דרום,"תוספת 9 יח""ד, 2 קומות וקומת קרקע חלקית + מרפסות + ממד""ים + מעלית ומחסנים ל-16 יח""ד קיימות עפ""י תמ""א 38",NULL,"תמ""א - חיזוק ועיבוי",שבי ציון,70,NULL,2009,2011,2017,אכלוס,NULL,16,25,NULL,9,NULL,"תמ""א",אשדוד,2009-11-23,2011-12-28,2017-02-15
16-641129,641129,16001892,NULL,NULL,NULL,21,NULL,10,5,כן,70,"שדרות עוזיהו 21,אשדוד",דרום,תוספות מרפסות לדירות 20 ק-א ודירה 26 ק-ג'.,15292,"תמ""א - חיזוק ועיבוי",שדרות עוזיהו,70,NULL,2010,2011,NULL, היתר,24/11/2020,32,0,NULL,-32,NULL,"תמ""א",אשדוד,2010-04-14,2011-07-13,NULL
16-641010,641010,16002166,NULL,NULL,NULL,74,NULL,NULL,NULL,כן,70,"רוגוזין 74,אשדוד",דרום,NULL,NULL,"תמ""א - חיזוק ועיבוי",רוגוזין,70,NULL,2010,2011,2012,אכלוס,NULL,16,28,NULL,12,NULL,"תמ""א",אשדוד,2010-09-21,2011-10-05,2012-01-24
16-641003,641003,16002597,NULL,NULL,NULL,31,NULL,32,2,כן,70,"שבי ציון 31,אשדוד",דרום,"בניית תוספות לדירות ומעלית, הוספת 2 דירות בקומת קרקע והוספת קומה חמישית ובה 4 דירות עם גג הכל במסגרת חיזוק בנין לפי תמ""א 38.",12449,"תמ""א - חיזוק ועיבוי",שבי ציון,70,NULL,2009,2011,2019,אכלוס,21/04/2012,16,31,NULL,15,NULL,"תמ""א",אשדוד,2009-03-24,2011-09-27,2019-01-29
16-641197,641197,16001611,NULL,NULL,NULL,2,NULL,NULL,NULL,כן,70,"המפרש 2,אשדוד",דרום,"חיזוק והרחבת מבנה מתוקף תמ""א 38 הכולל תוספת קומה , ממד""ים, מרפסות ומעלית ותוספת קומה מתוקף תב""ע  9/104/03/3 סה""כ בניין יהיה בן 5 קומות מעל קומת עמודים,8 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",המפרש,70,NULL,2011,2012,2014,אכלוס,NULL,6,11,NULL,5,NULL,"תמ""א",אשדוד,2011-10-31,2012-06-21,2014-07-29
16-641119,641119,16001747,NULL,NULL,NULL,5,NULL,5,NULL,כן,70,"האצל"" 5,אשדוד",דרום,"חיזוק מבנה לפי תמ""א 38 : תוספת מרפסת + ממ""ד + 2 קומות + 2 דירות בקרקע.",27461,"תמ""א - חיזוק ועיבוי","האצל""",70,NULL,2010,2012,2016,אכלוס,18/09/2012,32,42,NULL,10,NULL,"תמ""א",אשדוד,2010-08-22,2012-01-31,2016-01-31
16-641112,641112,16002033,NULL,NULL,NULL,3,NULL,38,NULL,כן,70,"הפלמח"" 3,אשדוד",דרום,"; ו-40 יח""ד",10471,"תמ""א - חיזוק ועיבוי","הפלמח""",70,NULL,2011,2012,2017,אכלוס,07/05/2013,64,104,NULL,40,NULL,"תמ""א",אשדוד,2011-02-10,2012-11-15,2017-09-01
16-641217,641217,16002050,NULL,NULL,NULL,4,NULL,NULL,NULL,כן,70,"החובלים 4,אשדוד",דרום,"חיזוק מבנה לפי תמ""א 38 תוספת מרפסות + ממ""דים + 2 קומות + 3 דירות בקרקע",NULL,"תמ""א - חיזוק ועיבוי",החובלים,70,NULL,2011,2012,2014,אכלוס,NULL,16,30,NULL,14,NULL,"תמ""א",אשדוד,2011-04-27,2012-03-11,2014-10-26
16-641074,641074,16000157,NULL,NULL,NULL,4,NULL,NULL,NULL,כן,70,"שדרות הרצל 4,אשדוד",דרום,"תוספת 4 יח""ד בקומה 7 - במסגרת חיזוק והרחבת המבנה לפי תמ""א - 38 .",NULL,"תמ""א - חיזוק ועיבוי",שדרות הרצל,70,NULL,2012,2013,NULL, היתר,NULL,32,56,NULL,24,NULL,"תמ""א",אשדוד,2012-10-14,2013-10-03,NULL
16-641048,641048,16001592,NULL,NULL,NULL,5,NULL,NULL,NULL,כן,70,"הרב קוק 5,אשדוד",דרום,"חיזוק מבנה קיים בן 4 קומות לפי  תמ""א 38, תוספת 2 יחידות דיור בקומת קרקע, תוספת מרפסות בחזיתות דרום- מערבית וצפון- מיזרחית",NULL,"תמ""א - חיזוק ועיבוי",הרב קוק,70,NULL,2011,2013,2018,אכלוס,NULL,16,18,NULL,2,NULL,"תמ""א",אשדוד,2011-04-05,2013-11-07,2018-11-18
16-641208,641208,16001612,NULL,NULL,NULL,8,NULL,NULL,NULL,כן,70,"הרב אבוחצירה 8,אשדוד",דרום,"חיזוק מבנה ע""י תוספת ממ""דים,מרפסות,מעלית ,מחסנים לבניין קיים בן 4 קומות מעל קומת העמודים,16 יח""ד  : תוספת 13 יח,ד ב-2.5 קומות נוספות ובקומת העמודים : 3 יח""ד בקומה מפולשת, 8 יח""ד בקומות ה' ו-ו' ,2 יח""ד בקומה ז'. סה""כ לאחר החיזוק המבנה יהיה בן 7 קומות מעל",NULL,"תמ""א - חיזוק ועיבוי",הרב אבוחצירה,70,NULL,2011,2013,2016,אכלוס,NULL,16,29,NULL,13,NULL,"תמ""א",אשדוד,2011-08-14,2013-10-09,2016-03-21
16-641218,641218,16001615,NULL,NULL,NULL,5,NULL,NULL,NULL,כן,70,"החובלים 5,אשדוד",דרום,"חיזוק מבנה לפי תמ""א 38 : תוספת  2.5 קומות  ,11 יח""ד לבניין קיים בן 4 קומות מעל קומת הקרקע ,תוספת דירת מגורים בקומת הקרקע .סה""כ בבניין לאחר התוספת יהיו 27 יח""ד",NULL,"תמ""א - חיזוק ועיבוי",החובלים,70,NULL,2011,2013,2017,אכלוס,NULL,16,27,NULL,11,NULL,"תמ""א",אשדוד,2011-12-25,2013-12-05,2017-04-04
16-641195,641195,16002190,NULL,NULL,NULL,2,NULL,NULL,NULL,כן,70,"מילמן 2,אשדוד",דרום,"תוספת 12 יח""ד : 6 יח""ד בקומה חמישית החדשה,6 יח""ד בקומה שישית החדשה (מתוכן 3 יח""ד דופלקס) בקומה שביעית- המשך של 3 דופלקסים. סה""כ בבניין לאחר התוספת יהיו 36 יח""ד. תוספת מחסנים  דירתיים בקומת הקרקע,תוספת  3 מעליות,ממ""דים עבור כל יחידה,מרפסות לפי חוק המרפסות",NULL,"תמ""א - חיזוק ועיבוי",מילמן,70,NULL,2011,2013,2017,אכלוס,NULL,24,39,NULL,15,NULL,"תמ""א",אשדוד,2011-10-03,2013-09-29,2017-02-09
16-641180,641180,16002612,NULL,NULL,NULL,26,NULL,NULL,NULL,כן,70,"קרן היסוד 26,אשדוד",דרום,"חיזוק מבנה קיים בן 4 קומות מעל קומת עמודים,32 יח""ד : תוספת ממ""דים,מרפסות ומעלית לדירות הקיימות בבניין, תוספת 24 יח""ד ב-2.5 קומות נוספות ובקומת הקרקע.",NULL,"תמ""א - חיזוק ועיבוי",קרן היסוד,70,NULL,2012,2013,2017,אכלוס,NULL,32,57,NULL,25,NULL,"תמ""א",אשדוד,2012-11-14,2013-12-25,2017-11-07
16-641235,641235,16000173,NULL,NULL,NULL,24,NULL,NULL,NULL,כן,70,"הכלנית 24,אשדוד",דרום,"חיזוק מבנה לפי תמ""א 38 : הקמת קומה 7 תוספת 8 יח""ד לבניין קיים בן 6 קומות מעל עמודים ובו 52 יח""ד.  סה""כ יהיו בבניין 60 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",הכלנית,70,NULL,2013,2014,2016,אכלוס,NULL,32,60,NULL,28,NULL,"תמ""א",אשדוד,2013-03-04,2014-05-18,2016-04-17
16-641012,641012,16001587,NULL,NULL,NULL,8,NULL,11,NULL,כן,70,"הדס 8,אשדוד",דרום,"חיזוק מבנה  על פי תמ""א 38,תיקון 3: תוספת 2 יח""ד בקומת העמודים הקיימת,ומתקנים טכניים + מחסנים דירתיים תוספת 8 יח""ד ב - 2.5 קומות הנוספות תוספת ממ""דים, מרפסות ומעלית למבנה קיים. לאחר החיזוק ,המבנה יהיה בן7 קומות מעל קומת הקרקע ,26 יח""ד.",16830,"תמ""א - חיזוק ועיבוי",הדס,70,NULL,2011,2014,2017,אכלוס,17/04/2016,16,28,NULL,12,NULL,"תמ""א",אשדוד,2011-05-12,2014-05-26,2017-05-18
16-641215,641215,16001614,NULL,NULL,NULL,2,NULL,NULL,NULL,כן,70,"החובלים 2,אשדוד",דרום,"חיזוק מבנה קיים בן 4 קומות מעל קומת עמודים ,16 יח""ד בהתאם לתמ""א 38/3 הכולל הוספת ממ""דים ,מרפסות לדירות הקיימות,תוספת מעלית,שינוי גרם מדרגות הקיימות,תוספת 2.5 קומות חדשות ובסה""כ תוספת 14 יח""ד. לאחר החיזוק יהיה המבנה  בן 7 קומות מעל קומת הקרקע ,30 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",החובלים,70,NULL,2012,2014,2018,אכלוס,NULL,16,30,NULL,14,NULL,"תמ""א",אשדוד,2012-04-01,2014-05-27,2018-08-22
16-641201,641201,16001760,NULL,NULL,NULL,10,NULL,10,NULL,כן,70,"הרב אבוחצירה 10,אשדוד",דרום,"חיזוק מבנה ע""י תוספת ממ""דים ,מרפסות,מעלית,מחסנים לסבניין קיים בן 4 קומות מעל קומת עמודים,16 יח""ד : תוספת 13 יח""ד ב- 2.5 קומות נוספות ובקומת העמודים  : 3 יח""ד בקומבה מפולשת,8 יח""ד בקומות ה' ו- ו' ,2 יח""ד בקומה ז' . סה""כ לאחר החיזוק המבנה יהיה בן 7 קומות מ",10624,"תמ""א - חיזוק ועיבוי",הרב אבוחצירה,70,NULL,2012,2014,2017,אכלוס,01/06/2014,16,29,NULL,13,NULL,"תמ""א",אשדוד,2012-04-16,2014-07-23,2017-04-04
16-641257,641257,16001767,NULL,NULL,NULL,3,NULL,14,NULL,כן,70,"מבוא החמצוץ 3,אשדוד",דרום,"חיזוק מבנה בן 4 קומות מעל קומת עמודים ותוספת עפ""י תמ""א 38/3: חיזוק דירות קיימות ותוספת ממ, תוספת 3 יח""ד בקומת עמודים קיימת ו11 יח""ד ב-2.5 קומות סה""כ לאחר חיזוק יהיה המבנה בן 7 קומות מעל קומת הקרקע, 30 יח""ד.",14007,"תמ""א - חיזוק ועיבוי",מבוא החמצוץ,70,NULL,2013,2014,2017,אכלוס,07/01/2015,16,30,NULL,14,NULL,"תמ""א",אשדוד,2013-11-13,2014-11-27,2017-06-06
16-641050,641050,16002173,NULL,NULL,NULL,22,NULL,NULL,NULL,כן,70,"נורדאו מכס 22,אשדוד",דרום,"פרויקט במסגרת תמ""א 38 : 1. הריסת מבנה קיים על פי תכנית מס' 27/102/03/3 המיועד למגורים מיוחד בשימוש מלונאות (לפי תכליות  המותרות) 2. בנייתו מחדש : מבנה בן 6 קומות מעל קומת עמודים מפולשת בהתאם לזכויות על פי תכנית מס' 27/102/03/3 - 54 יח""ד ומעל 2 קומות מרתפ",NULL,"תמ""א - הריסה ובנייה מחדש",נורדאו מכס,70,NULL,2012,2014,2017,אכלוס,NULL,54,77,NULL,23,NULL,"תמ""א",אשדוד,2012-11-23,2014-09-09,2017-03-23
16-641121,641121,16002181,NULL,NULL,NULL,3,NULL,NULL,NULL,כן,70,"שמואל הנגיד 3,אשדוד",דרום,"חיזוק מבנה קיים בן 4 קומות מעל קומת עמודים, 32 יח""ד ותוספת ע,פ תמ""א 38/3 תוספת 16 יח""ד ב-2.5 קומות חדשות סה""כ לאחר חיזוק יהיה המבנה בן 8 קומות מעל קומת קרקע, סה""כ 48 יח""ד",NULL,"תמ""א - חיזוק ועיבוי",שמואל הנגיד,70,NULL,2011,2014,2017,אכלוס,NULL,32,48,NULL,16,NULL,"תמ""א",אשדוד,2011-03-31,2014-12-21,2017-09-19
16-641184,641184,16002189,NULL,NULL,NULL,32,NULL,NULL,NULL,כן,70,"קרן היסוד 32,אשדוד",דרום,"חיזוק מבנה לפי תמ""א 38 : תוספת מרפסות לדירות קיימות,תוספת דירה אחת בקומת הקרקע,  שינויים פנימיים בקומות הקיימות,ביטול דירות דופלקס קיימות ללא שינוי בסה""כ  יח""ד ע""י שינוי בחלוקת היחידות בקומה. סה""כ בבניין יהיו 53 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",קרן היסוד,70,NULL,2012,2014,2014,אכלוס,NULL,32,53,NULL,21,NULL,"תמ""א",אשדוד,2012-07-15,2014-04-24,2014-07-02
16-641161,641161,16000020,NULL,NULL,NULL,7,NULL,NULL,NULL,כן,70,"בן אליעזר אריה 7,אשדוד",דרום,"חיזוק מבנה בן 4 קומות מעל קומת עמודים, 16 יח""ד,  ותוספת עפ""י תמ""א 38/3: חיזוק דירות קיימות, תוספת 2 יח""ד בקומת עמודים קיימת ו10 יח""ד ב-2.5 קומות נוספות. סה""כ לאחר חיזוק יהיה המבנה בן 8 קומות מעל הקרקע, 28 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",בן אליעזר אריה,70,NULL,2013,2015,2017,אכלוס,NULL,16,28,NULL,12,NULL,"תמ""א",אשדוד,2013-12-02,2015-06-17,2017-07-10
16-641164,641164,16001609,NULL,NULL,NULL,3,NULL,NULL,NULL,כן,70,"הדולפין 3,אשדוד",דרום,"חיזוק מבנה בן 3 קומות מעל קומת עמודים, 6 יח""ד,  ותוספת עפ""י תמ""א 38/3: חיזוק דירות קיימות, תוספת 5 יח""ד ב-2.5 קומות נוספות. סה""כ לאחר חיזוק יהיה המבנה בן 6 קומות מעל קומת הקרקע, 11 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",הדולפין,70,NULL,2014,2015,2017,אכלוס,NULL,6,11,NULL,5,NULL,"תמ""א",אשדוד,2014-06-29,2015-03-02,2017-03-15
16-641007,641007,16001730,NULL,NULL,NULL,6,NULL,NULL,NULL,כן,70,"האשכול 6,אשדוד",דרום,"חיזוק מבנה בן 5 קומות מעל קומת עמודים, 20 יח""ד: חיזוק והרחבת דירות קיימות, תוספת 1 יח""ד בקומת עמודים קיימת ותוספת 10 יח""ד ב- 2.5 קומות נוספות. סה""כ יהיה הבניין לאחר החיזוק בן 8 קומות מעל קומת הקרקע, 31 יח""ד.",NULL,"תמ""א - חיזוק ועיבוי",האשכול,70,NULL,2014,2015,2018,אכלוס,NULL,20,31,NULL,11,NULL,"תמ""א",אשדוד,2014-08-17,2015-09-06,2018-03-28
16-641020,641020,16001733,NULL,NULL,NULL,2,NULL,7,NULL,כן,70,"המעפילים 2,אשדוד",דרום,NULL,12713,"תמ""א - חיזוק ועיבוי",המעפילים,70,NULL,2013,2015,2019,אכלוס,16/02/2016,16,28,NULL,12,NULL,"תמ""א",אשדוד,2013-02-15,2015-11-24,2019-04-08
16-641078,641078,16001744,NULL,NULL,NULL,13,NULL,13,4,כן,70,"יהודה המכבי 13,אשדוד",דרום,"מכח תמ""א 38/3: חיזוק מבנה קיים בן 4 קומות מעל קומת עמודים מפולשת, סה""כ 16 יח""ד 1. תוספת ממ""דים ומרפסות לדירות קיימות 2. תוספת 3 יח""ד בקומות קרקע 3. תוספת 2.5 קומות חדשות בהן 11 יח""ד סה""כ לאחר חיזוק המבנה יהיה בן 8 קומות מעל הקרקע, סה""כ 30 יח""ד.",13222,"תמ""א - חיזוק ועיבוי",יהודה המכבי,70,NULL,2014,2015,2018,אכלוס,24/01/2016,16,30,NULL,14,NULL,"תמ""א",אשדוד,2014-09-01,2015-12-14,2018-03-05
16-641188,641188,16001758,NULL,NULL,NULL,38,NULL,1,NULL,כן,70,"קרן היסוד 38,אשדוד",דרום,NULL,18911,"תמ""א - חיזוק ועיבוי",קרן היסוד,70,NULL,2012,2015,2018,אכלוס,09/02/2022,32,56,NULL,24,NULL,"תמ""א",אשדוד,2012-04-17,2015-07-27,2018-08-07
16-641139,641139,16001893,NULL,NULL,NULL,3,NULL,9,8,כן,70,"גור דב 3,אשדוד",דרום,"חיזוק מבנה בן 3 קומות מעל קומת עמודים, 18 יח""ד,  ותוספת עפ""י תמ""א 38/3: חיזוק דירות קיימות, תוספת 2 יח""ד בקומת עמודים קיימת ו- 17 יח""ד ב-2.5 קומות נוספות. סה""כ לאחר חיזוק יהיה המבנה בן 6 קומות מעל קומת הקרקע, 37 יח""ד.",14521,"תמ""א - חיזוק ועיבוי",גור דב,70,NULL,2013,2015,2018,אכלוס,23/05/2016,18,38,NULL,20,NULL,"תמ""א",אשדוד,2013-11-28,2015-06-08,2018-08-21
16-641166,641166,16001896,NULL,NULL,NULL,8,NULL,NULL,NULL,כן,70,"הדולפין 8,אשדוד",דרום,NULL,NULL,"תמ""א - חיזוק ועיבוי",הדולפין,70,NULL,2013,2015,2018,אכלוס,NULL,4,10,NULL,6,NULL,"תמ""א",אשדוד,2013-02-15,2015-05-28,2018-10-11
